0.049087	0.998803
0.098175	0.995199
0.147262	0.989197
0.196350	0.980812
0.245437	0.970064
0.294524	0.956978
0.343612	0.941586
0.392699	0.923925
0.441786	0.904038
0.490874	0.881972
0.539961	0.857782
0.589049	0.831524
0.638136	0.803263
0.687223	0.773067
0.736311	0.741007
0.785398	0.707163
0.834486	0.671614
0.883573	0.634447
0.932660	0.595751
0.981748	0.555619
1.030835	0.514149
1.079922	0.471440
1.129010	0.427595
1.178097	0.382720
1.227185	0.336922
1.276272	0.290313
1.325359	0.243004
1.374447	0.195110
1.423534	0.146745
1.472622	0.098027
1.521709	0.049073
1.570796	0.000000


